,Exclusion,Inclusion,NCT
553,,T,NCT02968628
554,":            -  Subject is currently enrolled in another investigational device or drug trial, or has              been previously enrolled in investigative research for a device or pharmaceutical              agent within the last 30 days;            -  Subject's index ulcer has gangrene or gangrene is located on any part of the foot with              the index ulcer;            -  Subject has an acute and/or active Deep Vein Thrombosis;            -  Subject is currently receiving or has received in the last six (6) months radiation or              chemotherapy;            -  Subject has received growth factor therapy within seven (7) days prior to initial              screening;            -  Subject has a significant medical condition that would impair wound healing, for              example: severe liver disease, aplastic anemia, scleroderma, malnutrition, malignancy,              etc;            -  Subject has known or suspected osteomyelitis;            -  Other than debridement, the underlying wound pathology requires surgical correction              for the index ulcer to heal;            -  Subject is receiving or has received corticosteroids (all applications),              immunosuppressive agents, or other drugs that would impair wound healing within seven              (7) days prior to initial screening or is anticipated to require them during the              course of the study;            -  Subject has an acute or active Charcot foot per clinical and radiology results or              significant bony prominences that would preclude adequate off-loading with the              standard off-loading device. The presence of Charcot foot in itself does not exclude              the subject;            -  Subject has known HIV, hepatitis, active cancer (except basal cell and non-melanoma              skin cancer), or a bleeding disorder;            -  Subject is undergoing renal dialysis;            -  Subject suffers from known alcohol or drug abuse;            -  Use of the standard off-loading device is contra-indicated or cannot be appropriately              fitted to the subject.",":            -  Subject or legal representative has read, understands, and has signed the              Institutional Review Board (IRB)-approved Informed COnsent Form (ICF) prior to              enrollment in the study;            -  Subject is 18 years of age or older;            -  Subject has a current diagnosis of Type I or Type II diabetes mellitus;            -  Subject has a diabetic lower extremity ulcer;            -  Subject's index ulcer is at least 1.0cm2 in area;            -  Subject's index ulcer is a superficial, partial or full thickness skin ulcer (Wagner              Classification System I, II or III) which has been present for at least 4 weeks at the              time of initial screening that has not improved with standard of care;            -  Subject's index ulcer appears to be free of sinus tracts and tunneling;            -  Subject's index ulcer exhibits no signs of moderate or severe clinical infection;            -  In the event of multiple wounds on the same foot, the index ulcer will be the largest              ulcer meeting the other inclusion criteria;            -  In the event of multiple wounds on the same foor, the index ulcer is at least 2 cm              from any additional wound edge;            -  Women of childbearing potential must not be pregnant or lactating;            -  Subject and/or caregiver are willing and able to comply with all specified care and              visit requirements, and subject has a reasonable expectation of completing the study;            -  Subject must be fit to undertake the study trial in the opinion of the referring              doctor            -  Subject's Great Toe pressure is greater than 20mmHg.          ",NCT00871312
555,,T,NCT02713321
556,,I,NCT02787551
557,:            -  Not able to speak English or Spanish,:            -  Diabetes          ,NCT00548639
558,":            -  Type 1 Diabetes Mellitus (T1DM)            -  T2DM with history of or current insulin therapy. Prior use during pregnancy or              gestational diabetes was acceptable.            -  History of ketoacidosis or ketosis-prone diabetes            -  Clinically significant complications of diabetes that in the judgment of the              investigator would have made participant unsuitable to participate in this trial            -  History of a severe episode of hypoglycemia            -  Change in non-insulin antidiabetic therapy in addition to diet and exercise < 2 months              prior to screening            -  Any clinically significant cardiovascular event < 2 months prior to screening            -  Clinically significant, inadequately controlled or unstable hypertension            -  Hospitalization < 2 months prior to screening            -  Major surgery < 3 months prior to screening            -  Weight loss medication (prescription or non-prescription) < 2 months prior to              screening",:            -  Participant with T2DM on stable non-insulin antidiabetic therapy in addition to diet              and exercise            -  Body mass index (BMI) ≥ 25 kg/m^2 and ≤ 40 kg/m^2            -  HbA1c 7 - 11%            -  Ability and willingness to maintain a complete and accurate Subject Activity Log              during the course of the trial            -  Female of child-bearing potential must have agreed to use effective methods of              contraception            -  Ability to understand and willing to sign written informed consent          ,NCT01163721
559,"          Subjects who meet any of the following exclusion criteria will not be eligible to         participate in the study:            1. Enrollment in another clinical study, which involves an investigational drug            2. Diagnosis of type 1 Diabetes Mellitus or other genetic forms of Diabetes Mellitus            3. Significant renal failure of chronic liver disease (except NAFLD)            4. Major psychological disorders            5. Pregnancy - all female subjects will have serum beta-hCG prior to operation, and must              use birth control of their choice to avoid pregnancy during the first year after              surgery            6. Previous gastric or esophageal surgery            7. Immunosuppressive drugs including corticosteroids            8. Coagulopathy defined as an INR > 1.5 or platelet count < 50,000/µl            9. Anemia defined as a Hb <10.0 g/dl           10. Inflammatory bowel diseases or other medical condition that would serve as a              contraindication to gastric bypass (eg. celiac sprue, pancreatic insufficiency)           11. A severe concurrent illness that is likely to limit life or require extensive systemic              treatment (e.g. cancer)           12. A pre-existing major complication of diabetes:                 1. unstable, proliferative retinopathy                 2. severe autonomic cardiac neuropathy or intestinal neuropathy                 3. Myocardial infarction within the previous year, current unstable angina, or                   poorly-controlled congestive heart failure (Stage III)",":          Adult males and females who meet the following inclusion criteria will be offered the         opportunity to participate in the study:            1. Diagnosis of type 2 Diabetes Mellitus (T2DM) confirmed by the following criteria:                 1. normal or high C-peptide level (> 0.9 ng/ml) to exclude type 1 Diabetes Mellitus                 2. positive glucagon test to confirm T2DM                 3. fasting plasma glucose of 126 mg/dl or more on at least two occasions            2. Body mass index (BMI) 26 kg/m2 or greater, and less than 35 kg/m2            3. History of T2DM for not longer than 8 years, as long-standing disease beyond 8 years              correlates with failure to achieve diabetes resolution after gastric bypass            4. No contraindication for surgery or general anesthesia as determined by a              multidisciplinary bariatric surgery team (surgeon, anesthesiologist, internist,              dietitian, psychologist)            5. Between 18 and 65 year of age            6. Able to provide informed consent            7. If a female with reproductive potential, she has to agree to use a reliable method of              birth control for at least one year from the date of surgery          ",NCT00999050
560,":            -  Treatment with hormone suppressive agents or cancer chemotherapy within the past 6              months or planned during the study.            -  History of severe peripheral edema or facial edema unrelated to trauma or history of              myxedema in the prior 4 weeks prior to screening.            -  History of pulmonary hypertension, pulmonary fibrosis or any lung disease requiring              oxygen therapy.            -  Documented diagnosis of heart failure, previous hospitalization for heart failure or              current or constellation of symptoms (dyspnea on exertion, pedal edema, orthopnea,              paroxysmal nocturnal dyspnea) felt to be compatible with heart failure, that was not              explained by other causes, and for which there was a change in medication or other              management directed at heart failure.            -  Currently receiving or has received hormone replacement therapy within 6 months prior              to screening.",":            -  Males 30 to 75 years of age            -  Type 1 or 2 diabetes and receiving treatment with at least one anti-hyperglycemic              medication and angiotensin-converting enzyme inhibitors (ACEi)/angiotensin receptor              blockers (ARB) (renin-angiotensin system [RAS] inhibitor)            -  Estimated Glomerular Filtration Rate (eGFR) equal to or greater than 35 mL/min with              the Chronic Kidney Disease Epidemiology Collaboration (CKD-EPI) Formula and Urine              Albumin-to-Creatinine Ratio (UACR) equal to or greater than 30 and less than 5,000              mg/g creatinine.            -  Able to provide a semen specimen at the required intervals.            -  Baseline sperm concentration equal to or greater than 30 million per mL.          ",NCT02118714
561,:            1. Severe uncorrectable vision or hearing impairment            2. Cognitive impairment (≥2 errors on a 6-item dementia screening tool or a              chart-documented diagnosis of dementia)            3. Not primarily responsible for administering his/her medications            4. Does not own a cell phone that can receive text messages            5. Not comfortable receiving text messages,:            1. Type 2 diabetes mellitus diagnosis            2. Most recent hba1c value ≥7.5%.            3. Seek care at participating general internal medicine practices in Chicago or New York              City.            4. English or Spanish speaking            5. Take 5 or more prescription drugs for chronic conditions (including 1 study              medication)          ,NCT03185741
562,:            -  age<18            -  diabetes,:            -  prediabetes          ,NCT01473654
563,":            -  Moderate to severe renal dysfunction,            -  Uncontrolled hypertension,            -  Persistent active liver disease or hepatic dysfunction,            -  Has taken a cholesterylester transfer protein inhibitor in the last 12 months,            -  Myocardial infarction, unstable angina, percutaneous coronary intervention, coronary              artery bypass graft or stroke within 3 months prior to randomization",":            -  Male or female ≥18 years,            -  Type 2 Diabetes Mellitus,            -  Hemoglobin A1c <10%,            -  Stable Diabetes Therapy,            -  Must be on maximally tolerated dose of statin of at least moderate Intensity,            -  Fasting triglycerides ≤ 600 mg/dL,            -  Not at LDL-C or Non-HDL-C goal.          ",NCT02739984
564,":            -  History of complete lack of response to Pregabalin (at least 300 mg qd for 4 weeks) or              Gabapentin (at least 1800 mg qd for 4 weeks).            -  Other severe pain that may potentially confound pain assessment.            -  Hemoglobin A1c > 9%            -  Hemoglobin ≤ 9 g/dL            -  Estimated glomerular filtration rate (eGFR) according to the re-expressed abbreviated              (four-variable) Modification of Diet in Renal Disease (MDRD) Study equation ≤              50ml/min/1.73m2            -  Patients who have been on a stable dose of anticonvulsant, anticholinergic, diabetic              meds, nicotine replacements, or any other smoking cessation meds for <4 weeks prior to              randomization. Patients who are on stable doses for ≥ 4 weeks prior to randomization              are allowed, however, there should be no adjustments to the dose of these medications              during study.            -  Patients currently on more than one drug for treatment of neuropathic pain (low dose              opioids or antidepressants). Patients are allowed to participate if on a stable dose              of for at least 4 weeks prior to randomization (Day1) and should remain stable during              study.",":            -  Type I or Type II diabetes with painful, distal, symmetrical, sensory-motor neuropathy              attributed to diabetes, of at least 6 months duration.            -  Score of ≥3 on Michigan Neuropathy Screening Instrument            -  The patient is able to satisfactorily complete, in the Investigator's judgment, the              Cognitive Battery.            -  Based on patient diary information collected during the Screening/Baseline period, the              patient has completed at least 5 of 7 daily diary entries and has an average weekly              pain rating of at least 4 on the 11-point pain rating scale, in the week immediately              prior to randomization (Baseline Visit).            -  Male or female, 18-85 years of age.          ",NCT01314222
565,":            -  Type 1 Diabetes Mellitus (T1DM) or history of diabetic ketoacidosis (DKA)            -  Renal or hepatic disease (clinically significant)            -  Hepatocellular reaction, severe edema, or medically serious fluid event associated              with thiazolidinedione (TZD)            -  Recent (<6mos) history or clinical intervention for angina or myocardial infarction or              is taking nitrates            -  Any stage of heart failure, i.e. New York Heart Association (NYHA) class I-IV            -  Systolic BP >160mmHg or diastolic BP >90mmHg while on antihypertensive            -  Hypersensitivity to TZDs, biguanides            -  Prior treatment with two or more oral anti-diabetic (OAD) agents            -  Bilateral hip replacements            -  Concurrent diseases affecting bone metabolism            -  Active malabsorption syndrome            -  Serum calcium outside the central lab reference range            -  Thyroid replacement therapy, serum thyroid stimulating hormone (TSH) must be within              range            -  Vitamin D deficiency            -  Previous treatment with: strontium, intravenous (IV) bisphosphonate, fluoride,              hormones, calcineurin inhibitors or methotrexate            -  Chronic systemic corticosteroid [e.g. glucocorticoid, mineralocorticoid] treatment of              no more than two intra-articular injections within the past year or use of oral              parenteral, or long-term, high-dose inhaled corticosteroids",":            -  Female, >55 to <80 years            -  >5 years menopausal            -  Type 2 Diabetes Mellitus (T2DM) diagnosis according to American Diabetes Association              (ADA), American Association of Clinical Endocrinologists (AACE), Canadian Diabetes              Association (CDA), World Health Organization/International Diabetes Federation              (WHO/IDF)            -  Drug-naïve (HbA1c < or = 9.0%); OR Prior monotherapy, submaximal doses of metformin (<              or = 1000mg Metformin), sulfonylureas (< or = 5mg Glyburide, < or = 10mg Glipizide or              < or = 8mg glimepiride) or full dose Januvia (100mg) (HbA1c < or = 8.5%); OR Prior              monotherapy, > submaximal doses of metformin (>1000mg) or sulfonylureas (>5mg              Glyburide, >10mg Glipizide or >8mg glimepiride) (HbA1c < or = 7.0%)            -  Weighs <300 lbs (136.4 kg)            -  Two or more vertebra (L1-L4) suitable for BMD measurement by dual x-ray absorptiometry              (DXA)            -  Absolute BMD value consistent with T-score >-2.5 at femoral neck, lumbar spine and              total hip          ",NCT00679939
566,:            -  Subjects currently treated with a thiazolidinedione are excluded.,:            -  HbA1C 7.0 % to 10.0% on metformin monotherapy; may be withdrawn from other              (non-metformin) drugs if HbA1C is 6.5% to 9.5 % at screening.          ,NCT00484419
567,":            -  Prior use of glucagon-like peptide-1 (GLP-1) receptor agonist or dipeptidyl peptidase              IV (DPPIV) inhibitors            -  Use of any medication, which in the investigator's opinion could interfere with the              glycaemic control (e.g. systemic corticosteroids, pramlintide (Symlin®)) or affect the              subject's safety. Premix insulin is not allowed            -  Known proliferative retinopathy or maculopathy requiring acute treatment            -  Severe neuropathy, in particular autonomic neuropathy, i.e. gastroparesis, as judged              by the investigator            -  Uncontrolled/untreated blood pressure at screening (Visit 1) (after resting for 5              minutes) while sitting greater than 160 mmHg for systolic or greater than 100 mmHg for              diastolic (repeated measurement at Visit 2 (prior to performing the trial related              activities) is allowed to exclude white-coat hypertension)            -  History of acute or chronic pancreatitis            -  Screening (Visit 1) calcitonin value equal to or greater than 50 ng/L",":            -  Informed consent obtained before any trial-related activities. Trial-related              activities are any procedures that are carried out as part of the trial, including              activities to determine suitability for the trial            -  Male or female, aged equal to or greater than 18 years at the time of signing informed              consent            -  Type 1 diabetes mellitus (as diagnosed clinically) 12 months or longer prior to Visit              1 (i.e. screening)            -  Treatment with basal bolus or CSII (continuous subcutaneous insulin infusion, insulin              pump) treatment 6 months or longer prior to Visit 1 (i.e. screening)            -  Stable insulin treatment 3 months or longer prior to Visit 1 (i.e. screening), as              judged and documented by the investigator            -  HbA1c 7.0-10.0 percent (Diabetes Control and Complications Trial (DCCT)), both              inclusive, by central laboratory analysis (Visit 1, screening) corresponding to 53-86              mmol/mol (International Federation of Clinical Chemistry (IFCC))          ",NCT02098395
568,":            -  History of diabetic ketoacidosis, type 1 diabetes mellitus (T1DM), pancreas or              beta-cell transplantation, or diabetes secondary to pancreatitis or pancreatectomy            -  Fasting C-peptide less than 0.70 ng/mL (0.23 nmol/L) in participants for whom the              investigator cannot reasonably exclude T1DM based upon clinical evaluation            -  Repeated (2 or more over a 1 week period) fasting self-monitored blood glucose              measurements more than 300 mg/dL (16.7 mmol/L) prior to randomization, despite              reinforcement of diet and exercise counseling            -  History of hereditary glucose-galactose malabsorption or primary renal glucosuria            -  Has history of, or currently active, illness considered to be clinically significant              by the Investigator or any other illness that the Investigator considers should              exclude the patient from the study or that could interfere with the interpretation of              the study results",:            -  Must have type 2 diabetes mellitus with inadequate glycemic control on diet and              exercise            -  Not on antihyperglycemic agent therapy (at least 12 weeks before screening) and have a              screening visit fingerstick glycated hemoglobin (HbA1c) of more than or equal to 7              percent and less than or equal to 12.5 percent            -  Have a screening visit HbA1c of more than or equal to 7.5 percent and less than or              equal to 12 percent as determined by the central laboratory            -  Must have a fasting plasma glucose of less than or equal to 300 mg/dL (16.7 mmol/L)              prior to randomization            -  Must have a fasting fingerstick glucose of greater than 120 mg/dL (6.7 mmol/L)              performed at home or at the study center prior to randomization          ,NCT01809327
569,":            -  Poorly controlled, unstable or steroid-dependent COPD, insulin pump therapy, active              smoking",:            -  Diabetes Mellitus (Type 1 or Type 2) currently controlled with injected insulin            -  Prior smokers with a fixed airflow obstruction at screening (FEV1/FVC < 70%) and FEV1              < 80% predicted and/or a history of chronic productive cough.          ,NCT00138671
570,":          Subjects must have none of the following:            1. Prior administration of a monoclonal antibody -- within the 1 year before enrollment              or randomization at Study Day 0 -- that could potentially prevent or confound a              therapeutic response to MGA031            2. Participation in any type of therapeutic drug or vaccine clinical trial within the 12              weeks before enrollment or randomization            3. Any medical condition that, in the opinion of the investigator, would interfere with              safe completion of the trial            4. Pregnant or lactating females            5. Prior murine OKT®3 treatment at any time before enrollment or randomization            6. Current or planned therapy with exenatide or any other agents that stimulate              pancreatic beta cell regeneration or insulin secretion            7. Current or planned therapy with inhaled insulin            8. Uncompensated heart failure, fluid overload, myocardial infarction or evidence of              ischemic heart disease, or other serious cardiac disease within the 12 weeks before              enrollment or randomization            9. History of epilepsy, cancer, cystic fibrosis, sickle cell anemia, neuropathy,              peripheral vascular disease or cerebrovascular disease           10. Newly diagnosed hypothyroidism (not currently being treated but which, in the opinion              of the investigator, should be treated) or active Graves' disease           11. Eczema, asthma or severe atopic disease requiring treatment within the 12 weeks before              enrollment or randomization           12. Evidence of active infection, such as fever ≥ 38.0 degrees Celsius (100.5 degrees              Fahrenheit)           13. Known or suspected infection with human immunodeficiency virus (HIV)           14. Evidence of active hepatitis B (HBV) or hepatitis C virus (HCV)           15. Evidence of active or latent tuberculosis           16. Vaccination with a live virus within the 12 weeks before enrollment or randomization              or planned live virus vaccination continuing through week 52 of the study. Vaccination              with an antigen or killed organism must not be given within 12 weeks before or planned              within 8 weeks after each dosing cycle.           17. Any infectious mononucleosis-like illness within the 6 months before enrollment or              randomization           18. Serologic and clinical evidence of acute infection with Epstein-Barr virus (EBV)           19. Serologic evidence of acute infection with cytomegalovirus (CMV)",":          Subjects must meet all of the following criteria:            1. Enrollment (Segment #1) or randomization (Segment #2) on Study Day 0 within 12 weeks              of first visit to any physician for symptoms or signs of diabetes. Study Day 0 is the              first day of study drug dosing.            2. Diagnosis of type 1 diabetes mellitus, according to the American Diabetes Association              (ADA) criteria            3. Requirement for injected insulin therapy            4. Have a detectable fasting or stimulated C-peptide level (above the lower limit of              detection of the assay)            5. One positive result on testing for any of the following antibodies:                 1. islet-cell autoantibodies (ICA512/IA-2),                 2. glutamic acid decarboxylase autoantibodies, or                 3. insulin autoantibodies (if present during first 2 weeks, but not beyond 2 weeks,                   of insulin treatment)            6. Male or female            7. Subject must be in one of the following age groups:                 -  Age 18-35 years                 -  Age 12-17 years pending approval by Data Monitoring Committee                 -  Age 8-11 years pending approval by Data Monitoring Committee            8. Body weight ≥ 36 kg          ",NCT00385697
571,:            -  Signs of type 1 diabetes mellitus            -  Currently receiving a glucagon-like peptide-1 analogue for glycemic control of type 2              diabetes mellitus at Screening            -  Received a dipeptidyl peptidase-4 inhibitor for either more than 14 days total or              within the 3 months prior to Screening.,":            -  Diagnosis of type 2 diabetes mellitus            -  Is receiving monotherapy or combination antidiabetic therapy with a glycosylated              hemoglobin level between 6.5% and 11.0%, inclusive, at Screening (between 7.0 and              11.0%, inclusive, if the participant's antidiabetic regimen includes insulin)            -  Diagnosis of acute coronary syndrome within 15 to 90 days prior to randomization.          ",NCT00968708
572,":            1. Any clinically significant abnormality on history, physical examination, or laboratory              testing which could preclude safe completion of the study            2. Significant cardiac conditions            3. Lung disease            4. Cigarette smoking            5. Chronic kidney disease (Stage 3 or greater)            6. Type 1 diabetes            7. Known contraindication to alpha- or beta-blocker therapy",":            1. Type 2 diabetes mellitus,            2. Stable antidiabetic regimen for 3 months            3. Hemoglobin A1c <8.6%            4. Stable antihypertensive medication regimen for 3 months or more, including either an              angiotensin-converting enzyme inhibitor or angiotensin receptor blocker          ",NCT00732511
573,":            -  Peripheral neuropathy caused by condition other than diabetes            -  Other pain more severe than neuropathic pain            -  Progressive or degenerative neurological disorder            -  Myopathy            -  Inflammatory disorder of the blood vessels (inflammatory angiopathy, such as Buerger's              disease)            -  Active infection            -  Chronic inflammatory disease (e.g., Crohn's disease, rheumatoid arthritis)            -  Positive HIV or HTLV at Screening            -  Active Hepatitis B or C as determined by Hepatitis B core antibody (HBcAB), antibody              to Hepatitis B antigen (IgG and IgM; HbsAb), Hepatitis B surface antigen (HBsAg) and              Hepatitis C antibodies (Anti-HCV) at Screening            -  Subjects with known immunosuppression or currently receiving immunosuppressive drugs,              chemotherapy or radiation therapy            -  Stroke or myocardial infarction within last 3 months            -  Ophthalmologic conditions pertinent to proliferative retinopathy or conditions that              preclude standard ophthalmologic examination            -  Specific laboratory values at Screening including: Hemoglobin < 8.0 g/dL, WBC < 3,000              cells per microliter, platelet count <75,000/mm3, Creatinine > 2.0 mg/dL; AST and/or              ALT > 3 times the upper limit of normal or any other clinically significant lab              abnormality which in the opinion of the investigator should be exclusionary            -  Uncontrolled hypertension as defined as sustained systolic blood pressure (SBP) > 200              mmHg or diastolic BP (DBP) > 110 mmHg at Screening            -  Patients with a recent history (< 5 years) of or new screening finding of malignant              neoplasm except basal cell carcinoma or squamous cell carcinoma of the skin (if              excised and no evidence of recurrence); patients with family history of colon cancer              in any first degree relative are excluded unless they have undergone a colonoscopy in              the last 12 months with negative findings            -  Subjects requiring > 81 mg daily of acetylsalicylic acid; If ≥ 81 mg are taken at              screening, subjects may be enrolled if willing/able to switch to another medication            -  Use of any opioids; subjects may be enrolled if willing and able to discontinue use of              these drugs 14 days prior to starting the 7 Day Daily Pain and Sleep Interference              Diary and refrain from taking these drugs for the duration of the study            -  Subjects requiring regular COX-2 inhibitor drug(s) or non-specific COX-1/COX-2              inhibiting drugs, or high dose steroids (excepting inhaled steroids).Subjects may be              enrolled if willing/able to undergo medication wash-out prior to the first dosing and              to refrain from taking these drugs for the duration of the study;            -  Major psychiatric disorder in within last 6 months            -  Body mass index (BMI) > 45 kg/m2 at Screening            -  Any lower extremity amputation            -  Use of an investigational drug or treatment in past 6 months            -  Unable or unwilling to give informed consent",":            -  Age ≥ 18 years to ≤ 75 years            -  Documented history of Type I or II diabetes with current treatment control              (glycosylated hemoglobin A1c of ≤ 10.0% at Screening) and currently on oral medication              and/or insulin            -  Diagnosis of painful diabetic peripheral neuropathy in both lower extremities            -  Lower extremity pain for at least 6 months            -  Visual analog scale (VAS) score of ≥ 40 mm at Initial Screening (0 mm = no pain - 100              mm very severe pain)            -  Symptoms from the Brief Pain Neuropathy Screening (BPNS) is ≤ 5 point difference              between legs at Initial Screening            -  The average daily pain intensity score of the Daily Pain and Sleep Interference Diary              completed after medication wash-out is ≥ 4 with a standard deviation ≤ 2            -  The physical examination component of the Michigan Neuropathy Screening Instrument              Score (MNSI) is ≥ 3 at Screening            -  Stable treatment of diabetes for at least 3 months with no anticipated changes in              medication regimen, and no new symptoms associated with diabetes            -  If female of childbearing potential, negative urine pregnancy test at screening and              using acceptable method of birth control during the study          ",NCT01475786
574,":            1. Diabetes based on either of the following criteria:                 1. History (past 1 year) of hypoglycemic pharmacotherapy (oral or injectable                   medication approved by the FDA for type 2 diabetes), used for any condition (e.g.                   pre-diabetes, diabetes, polycystic ovarian syndrome.                 2. Meeting the diagnosis criteria for diabetes            2. History (past 3 years) of hyperparathyroidism, nephrolithiasis or hypercalcemia.            3. Pregnancy (past 1 year by report or positive pregnancy test at screening), intent to              become pregnant in the next 4 years or unprotected intercourse. History of gestational              diabetes is not an exclusion criterion.            4. Currently breastfeeding.",":            1. Pre-diabetes (""at increased risk for diabetes"") defined by meeting 2-out-of-3 of the              following glycemic criteria at the baseline visit:                 1. Fasting plasma glucose (FPG) 100-125 mg/dL                 2. 2-hour plasma glucose (2hPG) 140-199 mg/dL                 3. Hemoglobin A1c (HbA1c) 5.7-6.4%            2. Age ≥ 30 years .(≥25 years for people of the following races: American-Indian, Alaska              Native, Native Hawaiian or Other Pacific Islander).            3. Body Mass Index 22.5 to 42 kg/m2            4. Provision of signed and dated written informed consent prior to any study procedures.          Major ",NCT01942694
575,:            -  Diagnosed with type 1 diabetes            -  History of treatment with insulin or oral hypoglycemic agent            -  History of therapy with immunosuppressive drugs or non-physiologic glucocorticoids              within the past two years for a period of more than three months            -  Ongoing use of medications known to influence glucose tolerance            -  Pregnant or intending to become pregnant while on study or lactating,:            -  Participants in TrialNet Natural History/Pathway to Prevention Study (TN01); is              relative of proband with type 1 diabetes            -  Between ages 3-45 with normal Oral Glucose Tolerance Test (OGTT) or between ages 3-7              with an abnormal OGTT            -  Confirmed positive for insulin autoantibodies within previous six months            -  Confirmed positive for one or more other autoantibodies on two separate occasions              within the past six months          ,NCT02580877
576,":            1. Persons who have been using a CONTOUR, BREEZE or BREEZE 2 meter regularly during the              previous 6 months            2. Persons who test over 6 times/day regularly            3. Persons who wear a BG sensor 2 weeks or more during each month.            4. Persons with home heath aides who assist with their BG testing.            5. Persons with the following impairments which, in the opinion of the investigator,              would seriously compromise the integrity of the study:                 -  Significant visual impairment                 -  Significant hearing impairment                 -  Cognitive disorder                 -  Significant unstable co-morbidity (with notable change within the past 3 months)            6. Any other condition as per investigator's discretion",":            1. Persons with type 1 or type 2 diabetes            2. Persons who are on a pump or are taking at least 1 mealtime injection of insulin a day            3. Persons at least 21 years of age            4. Persons willing to complete all study visits and study procedures including:                 -  Using the meal-marker + reminder feature regularly (Group 2 subjects only)                 -  Using the paper logbook provided (both Groups)            5. Testing their BG at least 3 times a day during the entire study.            6. Persons who are able to speak, read and understand English            7. Persons who are currently performing self-testing of blood glucose at home routinely              (at least 3 times per day) for 4 weeks or more          ",NCT00782496
577,":          The following criteria should be checked at the time of study entry. If ANY exclusion         criterion applies, the subject must not be included in the study:            -  Use of any investigational or non-registered product other than the study vaccine              within 30 days preceding the first dose of study vaccine, or planned use during the              study period.            -  Chronic administration of immunosuppressants or other immune-modifying drugs within              six months prior to the first vaccine dose.            -  Administration of long-acting immune-modifying drugs within 6 months of the study              entry or planned administration at any time during the study period.            -  Administration of a vaccine not foreseen by the study protocol starting from 30 days              before each dose of vaccine and ending 30 days after each dose, with the exception of              the inactivated influenza vaccine which is allowed at any time during the study if              administered at a separate site.            -  Concurrently participating in another clinical study, at any time during the study              period, in which the subject has been or will be exposed to an investigational or a              protocol-specified non-investigational product.            -  Any previous complete or incomplete vaccination against hepatitis B since birth.            -  Any confirmed or suspected immunosuppressive or immunodeficient condition, including              HIV infection, based on medical history and physical examination.            -  History of any reaction or hypersensitivity likely to be exacerbated by any component              of the vaccine, including latex.            -  Advanced heart failure or any other severe clinical condition that significantly              reduces the subject's life expectancy.            -  Acute disease and/or fever at the time of enrolment.            -  Administration of immunoglobulins and/or any blood products within the three months              preceding the first dose of study vaccine or planned administration during the study              period.            -  Any history of alcohol or drug abuse in the past 5 years.",":          All subjects must satisfy ALL the following criteria at study entry:            -  Subjects who, in the opinion of the investigator, can and will comply with the              requirements of the protocol.            -  A male or female subject aged 20 years and above at the time of screening.            -  Written informed consent obtained from the subject at screening.            -  Subjects diagnosed with type 2 diabetes documented within the past five years,              according to the criteria specified by the American Diabetes Association or currently              taking any form of anti-diabetic intervention documented by the investigator; or              control subjects with no diagnosis or documented history of diabetes, and HbA1c less              than 6.5%, as determined by laboratory screening tests.            -  Normal renal function defined as estimated glomerular filtration rate (GFR) ≥ 50              mL/min, estimated through the Modification of Diet in Renal Disease (MDRD) or the              Chronic Kidney Disease Epidemiology Collaboration (CKD-EPI) equation, as determined by              laboratory screening tests.            -  Seronegative for hepatitis B surface antigen (HBsAg), anti-HBs antibodies and              antibodies to hepatitis B core antigen (anti HBc), as determined by laboratory              screening tests.            -  Female subjects of non-childbearing potential may be enrolled in the study.                 -  Non-childbearing potential is defined as pre-menarche, current tubal ligation,                   hysterectomy, ovariectomy or post-menopause.            -  Female subjects of childbearing potential may be enrolled in the study, if the              subject:                 -  has practiced adequate contraception for 30 days prior to vaccination, and                 -  has a negative pregnancy test on the day of screening and at Visit 1, and                 -  has agreed to continue adequate contraception during the entire treatment period                   and for two months after completion of the vaccination series.          ",NCT01627340
